"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.5.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.5.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.5.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.5.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.5.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.5.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.5.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.5.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.5.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.5.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy","testCM.Class.5.Balanced.Accuracy"
"11","Phase ~ TIME2 + TIME1 + TIME0","rf",330,138,3,"noProc",11,0.436363636363636,0.280969952556668,0.492753623188406,0.349757673667205,0.406678909961641,0.579145970734033,0.268115942028986,1.59138019014145e-08,0.236687449094008,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.752475247524752,0.94017094017094,0.945945945945946,0.807692307692308,0.899159663865546,0.444444444444445,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.817204301075269,0.909090909090909,0.882352941176471,0.84,0.899159663865546,0.444444444444444,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.48780487804878,0.526315789473684,0.565217391304348,0.5,0.368421052631579,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.144927536231884,0.072463768115942,0.0942028985507246,0.130434782608696,0.0507246376811594,0.326086956521739,0.123188405797101,0.13768115942029,0.27536231884058,0.13768115942029,0.646507894032647,0.708180708180708,0.713713713713714,0.668552036199095,0.633790358248563
"12","Phase ~ TIME2 + TIME1 + TIME0","rf",330,138,3,"noProc",12,0.433333333333333,0.277671130255642,0.492753623188406,0.349757673667205,0.406678909961641,0.579145970734033,0.268115942028986,1.59138019014145e-08,0.236687449094008,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.752475247524752,0.94017094017094,0.945945945945946,0.807692307692308,0.899159663865546,0.444444444444445,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.817204301075269,0.909090909090909,0.882352941176471,0.84,0.899159663865546,0.444444444444444,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.48780487804878,0.526315789473684,0.565217391304348,0.5,0.368421052631579,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.144927536231884,0.072463768115942,0.0942028985507246,0.130434782608696,0.0507246376811594,0.326086956521739,0.123188405797101,0.13768115942029,0.27536231884058,0.13768115942029,0.646507894032647,0.708180708180708,0.713713713713714,0.668552036199095,0.633790358248563
"13","Phase ~ TIME2 + TIME1 + TIME0","rf",330,138,3,"noProc",13,0.43030303030303,0.274547176650803,0.492753623188406,0.349757673667205,0.406678909961641,0.579145970734033,0.268115942028986,1.59138019014145e-08,0.236687449094008,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.752475247524752,0.94017094017094,0.945945945945946,0.807692307692308,0.899159663865546,0.444444444444445,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.817204301075269,0.909090909090909,0.882352941176471,0.84,0.899159663865546,0.444444444444444,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.48780487804878,0.526315789473684,0.565217391304348,0.5,0.368421052631579,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.144927536231884,0.072463768115942,0.0942028985507246,0.130434782608696,0.0507246376811594,0.326086956521739,0.123188405797101,0.13768115942029,0.27536231884058,0.13768115942029,0.646507894032647,0.708180708180708,0.713713713713714,0.668552036199095,0.633790358248563
"14","Phase ~ TIME2 + TIME1 + TIME0","rf",330,138,3,"noProc",14,0.448484848484848,0.297552075414323,0.492753623188406,0.349757673667205,0.406678909961641,0.579145970734033,0.268115942028986,1.59138019014145e-08,0.236687449094008,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.752475247524752,0.94017094017094,0.945945945945946,0.807692307692308,0.899159663865546,0.444444444444445,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.817204301075269,0.909090909090909,0.882352941176471,0.84,0.899159663865546,0.444444444444444,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.48780487804878,0.526315789473684,0.565217391304348,0.5,0.368421052631579,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.144927536231884,0.072463768115942,0.0942028985507246,0.130434782608696,0.0507246376811594,0.326086956521739,0.123188405797101,0.13768115942029,0.27536231884058,0.13768115942029,0.646507894032647,0.708180708180708,0.713713713713714,0.668552036199095,0.633790358248563
"15","Phase ~ TIME2 + TIME1 + TIME0","rf",330,138,3,"noProc",15,0.439393939393939,0.285438393202009,0.492753623188406,0.349757673667205,0.406678909961641,0.579145970734033,0.268115942028986,1.59138019014145e-08,0.236687449094008,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.752475247524752,0.94017094017094,0.945945945945946,0.807692307692308,0.899159663865546,0.444444444444445,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.817204301075269,0.909090909090909,0.882352941176471,0.84,0.899159663865546,0.444444444444444,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.48780487804878,0.526315789473684,0.565217391304348,0.5,0.368421052631579,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.144927536231884,0.072463768115942,0.0942028985507246,0.130434782608696,0.0507246376811594,0.326086956521739,0.123188405797101,0.13768115942029,0.27536231884058,0.13768115942029,0.646507894032647,0.708180708180708,0.713713713713714,0.668552036199095,0.633790358248563
"16","Phase ~ TIME2 + TIME1 + TIME0","rf",330,138,3,"noProc",16,0.436363636363636,0.280750887636368,0.492753623188406,0.349757673667205,0.406678909961641,0.579145970734033,0.268115942028986,1.59138019014145e-08,0.236687449094008,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.752475247524752,0.94017094017094,0.945945945945946,0.807692307692308,0.899159663865546,0.444444444444445,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.817204301075269,0.909090909090909,0.882352941176471,0.84,0.899159663865546,0.444444444444444,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.48780487804878,0.526315789473684,0.565217391304348,0.5,0.368421052631579,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.144927536231884,0.072463768115942,0.0942028985507246,0.130434782608696,0.0507246376811594,0.326086956521739,0.123188405797101,0.13768115942029,0.27536231884058,0.13768115942029,0.646507894032647,0.708180708180708,0.713713713713714,0.668552036199095,0.633790358248563
"17","Phase ~ TIME2 + TIME1 + TIME0","rf",330,138,3,"noProc",17,0.439393939393939,0.286574036203008,0.492753623188406,0.349757673667205,0.406678909961641,0.579145970734033,0.268115942028986,1.59138019014145e-08,0.236687449094008,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.752475247524752,0.94017094017094,0.945945945945946,0.807692307692308,0.899159663865546,0.444444444444445,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.817204301075269,0.909090909090909,0.882352941176471,0.84,0.899159663865546,0.444444444444444,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.48780487804878,0.526315789473684,0.565217391304348,0.5,0.368421052631579,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.144927536231884,0.072463768115942,0.0942028985507246,0.130434782608696,0.0507246376811594,0.326086956521739,0.123188405797101,0.13768115942029,0.27536231884058,0.13768115942029,0.646507894032647,0.708180708180708,0.713713713713714,0.668552036199095,0.633790358248563
"18","Phase ~ TIME2 + TIME1 + TIME0","rf",330,138,3,"noProc",18,0.439393939393939,0.285672497513602,0.492753623188406,0.349757673667205,0.406678909961641,0.579145970734033,0.268115942028986,1.59138019014145e-08,0.236687449094008,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.752475247524752,0.94017094017094,0.945945945945946,0.807692307692308,0.899159663865546,0.444444444444445,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.817204301075269,0.909090909090909,0.882352941176471,0.84,0.899159663865546,0.444444444444444,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.48780487804878,0.526315789473684,0.565217391304348,0.5,0.368421052631579,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.144927536231884,0.072463768115942,0.0942028985507246,0.130434782608696,0.0507246376811594,0.326086956521739,0.123188405797101,0.13768115942029,0.27536231884058,0.13768115942029,0.646507894032647,0.708180708180708,0.713713713713714,0.668552036199095,0.633790358248563
"19","Phase ~ TIME2 + TIME1 + TIME0","rf",330,138,3,"noProc",19,0.433333333333333,0.27699409504171,0.492753623188406,0.349757673667205,0.406678909961641,0.579145970734033,0.268115942028986,1.59138019014145e-08,0.236687449094008,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.752475247524752,0.94017094017094,0.945945945945946,0.807692307692308,0.899159663865546,0.444444444444445,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.817204301075269,0.909090909090909,0.882352941176471,0.84,0.899159663865546,0.444444444444444,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.48780487804878,0.526315789473684,0.565217391304348,0.5,0.368421052631579,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.144927536231884,0.072463768115942,0.0942028985507246,0.130434782608696,0.0507246376811594,0.326086956521739,0.123188405797101,0.13768115942029,0.27536231884058,0.13768115942029,0.646507894032647,0.708180708180708,0.713713713713714,0.668552036199095,0.633790358248563
"20","Phase ~ TIME2 + TIME1 + TIME0","rf",330,138,3,"noProc",20,0.436363636363636,0.281920494162241,0.492753623188406,0.349757673667205,0.406678909961641,0.579145970734033,0.268115942028986,1.59138019014145e-08,0.236687449094008,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.752475247524752,0.94017094017094,0.945945945945946,0.807692307692308,0.899159663865546,0.444444444444445,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.817204301075269,0.909090909090909,0.882352941176471,0.84,0.899159663865546,0.444444444444444,0.588235294117647,0.684210526315789,0.473684210526316,0.368421052631579,0.540540540540541,0.476190476190476,0.481481481481481,0.529411764705882,0.368421052631579,0.48780487804878,0.526315789473684,0.565217391304348,0.5,0.368421052631579,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.144927536231884,0.072463768115942,0.0942028985507246,0.130434782608696,0.0507246376811594,0.326086956521739,0.123188405797101,0.13768115942029,0.27536231884058,0.13768115942029,0.646507894032647,0.708180708180708,0.713713713713714,0.668552036199095,0.633790358248563
