"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.5.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.5.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.5.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.5.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.5.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.5.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.5.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.5.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.5.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.5.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy","testCM.Class.5.Balanced.Accuracy"
"11","Phase ~ EVI + EVI_1","rf",330,138,2,"noProc",11,0.657575757575758,0.564430220062608,0.644927536231884,0.549410275204904,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.841584158415842,0.923076923076923,0.918918918918919,0.942307692307692,0.92436974789916,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.85,0.939130434782609,0.864406779661017,0.951456310679612,0.948275862068966,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.586666666666667,0.636363636363636,0.468085106382979,0.840579710144928,0.634146341463415,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.159420289855072,0.101449275362319,0.0797101449275362,0.210144927536232,0.0942028985507246,0.27536231884058,0.166666666666667,0.144927536231884,0.253623188405797,0.159420289855072,0.718089376505218,0.794871794871795,0.663163163163163,0.89762443438914,0.804290137107475
"12","Phase ~ EVI + EVI_1","rf",330,138,2,"noProc",12,0.654545454545455,0.560785961962804,0.644927536231884,0.549410275204904,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.841584158415842,0.923076923076923,0.918918918918919,0.942307692307692,0.92436974789916,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.85,0.939130434782609,0.864406779661017,0.951456310679612,0.948275862068966,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.586666666666667,0.636363636363636,0.468085106382979,0.840579710144928,0.634146341463415,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.159420289855072,0.101449275362319,0.0797101449275362,0.210144927536232,0.0942028985507246,0.27536231884058,0.166666666666667,0.144927536231884,0.253623188405797,0.159420289855072,0.718089376505218,0.794871794871795,0.663163163163163,0.89762443438914,0.804290137107475
"13","Phase ~ EVI + EVI_1","rf",330,138,2,"noProc",13,0.663636363636364,0.572409123806411,0.644927536231884,0.549410275204904,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.841584158415842,0.923076923076923,0.918918918918919,0.942307692307692,0.92436974789916,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.85,0.939130434782609,0.864406779661017,0.951456310679612,0.948275862068966,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.586666666666667,0.636363636363636,0.468085106382979,0.840579710144928,0.634146341463415,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.159420289855072,0.101449275362319,0.0797101449275362,0.210144927536232,0.0942028985507246,0.27536231884058,0.166666666666667,0.144927536231884,0.253623188405797,0.159420289855072,0.718089376505218,0.794871794871795,0.663163163163163,0.89762443438914,0.804290137107475
"14","Phase ~ EVI + EVI_1","rf",330,138,2,"noProc",14,0.657575757575758,0.564638716682428,0.644927536231884,0.549410275204904,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.841584158415842,0.923076923076923,0.918918918918919,0.942307692307692,0.92436974789916,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.85,0.939130434782609,0.864406779661017,0.951456310679612,0.948275862068966,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.586666666666667,0.636363636363636,0.468085106382979,0.840579710144928,0.634146341463415,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.159420289855072,0.101449275362319,0.0797101449275362,0.210144927536232,0.0942028985507246,0.27536231884058,0.166666666666667,0.144927536231884,0.253623188405797,0.159420289855072,0.718089376505218,0.794871794871795,0.663163163163163,0.89762443438914,0.804290137107475
"15","Phase ~ EVI + EVI_1","rf",330,138,2,"noProc",15,0.666666666666667,0.575919716812505,0.644927536231884,0.549410275204904,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.841584158415842,0.923076923076923,0.918918918918919,0.942307692307692,0.92436974789916,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.85,0.939130434782609,0.864406779661017,0.951456310679612,0.948275862068966,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.586666666666667,0.636363636363636,0.468085106382979,0.840579710144928,0.634146341463415,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.159420289855072,0.101449275362319,0.0797101449275362,0.210144927536232,0.0942028985507246,0.27536231884058,0.166666666666667,0.144927536231884,0.253623188405797,0.159420289855072,0.718089376505218,0.794871794871795,0.663163163163163,0.89762443438914,0.804290137107475
"16","Phase ~ EVI + EVI_1","rf",330,138,2,"noProc",16,0.657575757575758,0.56406359597849,0.644927536231884,0.549410275204904,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.841584158415842,0.923076923076923,0.918918918918919,0.942307692307692,0.92436974789916,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.85,0.939130434782609,0.864406779661017,0.951456310679612,0.948275862068966,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.586666666666667,0.636363636363636,0.468085106382979,0.840579710144928,0.634146341463415,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.159420289855072,0.101449275362319,0.0797101449275362,0.210144927536232,0.0942028985507246,0.27536231884058,0.166666666666667,0.144927536231884,0.253623188405797,0.159420289855072,0.718089376505218,0.794871794871795,0.663163163163163,0.89762443438914,0.804290137107475
"17","Phase ~ EVI + EVI_1","rf",330,138,2,"noProc",17,0.663636363636364,0.572064441510801,0.644927536231884,0.549410275204904,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.841584158415842,0.923076923076923,0.918918918918919,0.942307692307692,0.92436974789916,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.85,0.939130434782609,0.864406779661017,0.951456310679612,0.948275862068966,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.586666666666667,0.636363636363636,0.468085106382979,0.840579710144928,0.634146341463415,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.159420289855072,0.101449275362319,0.0797101449275362,0.210144927536232,0.0942028985507246,0.27536231884058,0.166666666666667,0.144927536231884,0.253623188405797,0.159420289855072,0.718089376505218,0.794871794871795,0.663163163163163,0.89762443438914,0.804290137107475
"18","Phase ~ EVI + EVI_1","rf",330,138,2,"noProc",18,0.654545454545455,0.560508884449585,0.644927536231884,0.549410275204904,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.841584158415842,0.923076923076923,0.918918918918919,0.942307692307692,0.92436974789916,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.85,0.939130434782609,0.864406779661017,0.951456310679612,0.948275862068966,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.586666666666667,0.636363636363636,0.468085106382979,0.840579710144928,0.634146341463415,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.159420289855072,0.101449275362319,0.0797101449275362,0.210144927536232,0.0942028985507246,0.27536231884058,0.166666666666667,0.144927536231884,0.253623188405797,0.159420289855072,0.718089376505218,0.794871794871795,0.663163163163163,0.89762443438914,0.804290137107475
"19","Phase ~ EVI + EVI_1","rf",330,138,2,"noProc",19,0.651515151515151,0.556865950490425,0.644927536231884,0.549410275204904,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.841584158415842,0.923076923076923,0.918918918918919,0.942307692307692,0.92436974789916,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.85,0.939130434782609,0.864406779661017,0.951456310679612,0.948275862068966,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.586666666666667,0.636363636363636,0.468085106382979,0.840579710144928,0.634146341463415,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.159420289855072,0.101449275362319,0.0797101449275362,0.210144927536232,0.0942028985507246,0.27536231884058,0.166666666666667,0.144927536231884,0.253623188405797,0.159420289855072,0.718089376505218,0.794871794871795,0.663163163163163,0.89762443438914,0.804290137107475
"20","Phase ~ EVI + EVI_1","rf",330,138,2,"noProc",20,0.660606060606061,0.568672758463747,0.644927536231884,0.549410275204904,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.841584158415842,0.923076923076923,0.918918918918919,0.942307692307692,0.92436974789916,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.85,0.939130434782609,0.864406779661017,0.951456310679612,0.948275862068966,0.578947368421053,0.608695652173913,0.55,0.828571428571429,0.590909090909091,0.594594594594595,0.666666666666667,0.407407407407407,0.852941176470588,0.684210526315789,0.586666666666667,0.636363636363636,0.468085106382979,0.840579710144928,0.634146341463415,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.159420289855072,0.101449275362319,0.0797101449275362,0.210144927536232,0.0942028985507246,0.27536231884058,0.166666666666667,0.144927536231884,0.253623188405797,0.159420289855072,0.718089376505218,0.794871794871795,0.663163163163163,0.89762443438914,0.804290137107475
