"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.5.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.5.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.5.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.5.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.5.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.5.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.5.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.5.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.5.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.5.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy","testCM.Class.5.Balanced.Accuracy"
"11","Phase ~ TIME0 + NDVI + DTNDVI","rf",330,138,3,"noProc",11,0.706060606060606,0.62368182833496,0.644927536231884,0.546022155085599,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.811881188118812,0.905982905982906,0.90990990990991,0.951923076923077,0.966386554621849,0.547619047619048,0.45,0.545454545454546,0.864864864864865,0.764705882352941,0.854166666666667,0.898305084745763,0.870689655172414,0.98019801980198,0.950413223140496,0.547619047619048,0.45,0.545454545454545,0.864864864864865,0.764705882352941,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.582278481012658,0.439024390243902,0.489795918367347,0.901408450704225,0.722222222222222,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.166666666666667,0.0652173913043478,0.0869565217391304,0.231884057971014,0.0942028985507246,0.304347826086957,0.144927536231884,0.159420289855072,0.268115942028986,0.123188405797101,0.716751404870217,0.667277167277167,0.677177177177177,0.946549773755656,0.825298540468819
"12","Phase ~ TIME0 + NDVI + DTNDVI","rf",330,138,3,"noProc",12,0.7,0.617066166559222,0.644927536231884,0.546022155085599,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.811881188118812,0.905982905982906,0.90990990990991,0.951923076923077,0.966386554621849,0.547619047619048,0.45,0.545454545454546,0.864864864864865,0.764705882352941,0.854166666666667,0.898305084745763,0.870689655172414,0.98019801980198,0.950413223140496,0.547619047619048,0.45,0.545454545454545,0.864864864864865,0.764705882352941,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.582278481012658,0.439024390243902,0.489795918367347,0.901408450704225,0.722222222222222,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.166666666666667,0.0652173913043478,0.0869565217391304,0.231884057971014,0.0942028985507246,0.304347826086957,0.144927536231884,0.159420289855072,0.268115942028986,0.123188405797101,0.716751404870217,0.667277167277167,0.677177177177177,0.946549773755656,0.825298540468819
"13","Phase ~ TIME0 + NDVI + DTNDVI","rf",330,138,3,"noProc",13,0.709090909090909,0.628099173553719,0.644927536231884,0.546022155085599,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.811881188118812,0.905982905982906,0.90990990990991,0.951923076923077,0.966386554621849,0.547619047619048,0.45,0.545454545454546,0.864864864864865,0.764705882352941,0.854166666666667,0.898305084745763,0.870689655172414,0.98019801980198,0.950413223140496,0.547619047619048,0.45,0.545454545454545,0.864864864864865,0.764705882352941,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.582278481012658,0.439024390243902,0.489795918367347,0.901408450704225,0.722222222222222,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.166666666666667,0.0652173913043478,0.0869565217391304,0.231884057971014,0.0942028985507246,0.304347826086957,0.144927536231884,0.159420289855072,0.268115942028986,0.123188405797101,0.716751404870217,0.667277167277167,0.677177177177177,0.946549773755656,0.825298540468819
"14","Phase ~ TIME0 + NDVI + DTNDVI","rf",330,138,3,"noProc",14,0.706060606060606,0.624463267556724,0.644927536231884,0.546022155085599,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.811881188118812,0.905982905982906,0.90990990990991,0.951923076923077,0.966386554621849,0.547619047619048,0.45,0.545454545454546,0.864864864864865,0.764705882352941,0.854166666666667,0.898305084745763,0.870689655172414,0.98019801980198,0.950413223140496,0.547619047619048,0.45,0.545454545454545,0.864864864864865,0.764705882352941,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.582278481012658,0.439024390243902,0.489795918367347,0.901408450704225,0.722222222222222,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.166666666666667,0.0652173913043478,0.0869565217391304,0.231884057971014,0.0942028985507246,0.304347826086957,0.144927536231884,0.159420289855072,0.268115942028986,0.123188405797101,0.716751404870217,0.667277167277167,0.677177177177177,0.946549773755656,0.825298540468819
"15","Phase ~ TIME0 + NDVI + DTNDVI","rf",330,138,3,"noProc",15,0.709090909090909,0.628121001537757,0.644927536231884,0.546022155085599,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.811881188118812,0.905982905982906,0.90990990990991,0.951923076923077,0.966386554621849,0.547619047619048,0.45,0.545454545454546,0.864864864864865,0.764705882352941,0.854166666666667,0.898305084745763,0.870689655172414,0.98019801980198,0.950413223140496,0.547619047619048,0.45,0.545454545454545,0.864864864864865,0.764705882352941,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.582278481012658,0.439024390243902,0.489795918367347,0.901408450704225,0.722222222222222,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.166666666666667,0.0652173913043478,0.0869565217391304,0.231884057971014,0.0942028985507246,0.304347826086957,0.144927536231884,0.159420289855072,0.268115942028986,0.123188405797101,0.716751404870217,0.667277167277167,0.677177177177177,0.946549773755656,0.825298540468819
"16","Phase ~ TIME0 + NDVI + DTNDVI","rf",330,138,3,"noProc",16,0.7,0.616152833912962,0.644927536231884,0.546022155085599,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.811881188118812,0.905982905982906,0.90990990990991,0.951923076923077,0.966386554621849,0.547619047619048,0.45,0.545454545454546,0.864864864864865,0.764705882352941,0.854166666666667,0.898305084745763,0.870689655172414,0.98019801980198,0.950413223140496,0.547619047619048,0.45,0.545454545454545,0.864864864864865,0.764705882352941,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.582278481012658,0.439024390243902,0.489795918367347,0.901408450704225,0.722222222222222,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.166666666666667,0.0652173913043478,0.0869565217391304,0.231884057971014,0.0942028985507246,0.304347826086957,0.144927536231884,0.159420289855072,0.268115942028986,0.123188405797101,0.716751404870217,0.667277167277167,0.677177177177177,0.946549773755656,0.825298540468819
"17","Phase ~ TIME0 + NDVI + DTNDVI","rf",330,138,3,"noProc",17,0.7,0.616211453744493,0.644927536231884,0.546022155085599,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.811881188118812,0.905982905982906,0.90990990990991,0.951923076923077,0.966386554621849,0.547619047619048,0.45,0.545454545454546,0.864864864864865,0.764705882352941,0.854166666666667,0.898305084745763,0.870689655172414,0.98019801980198,0.950413223140496,0.547619047619048,0.45,0.545454545454545,0.864864864864865,0.764705882352941,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.582278481012658,0.439024390243902,0.489795918367347,0.901408450704225,0.722222222222222,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.166666666666667,0.0652173913043478,0.0869565217391304,0.231884057971014,0.0942028985507246,0.304347826086957,0.144927536231884,0.159420289855072,0.268115942028986,0.123188405797101,0.716751404870217,0.667277167277167,0.677177177177177,0.946549773755656,0.825298540468819
"18","Phase ~ TIME0 + NDVI + DTNDVI","rf",330,138,3,"noProc",18,0.696969696969697,0.61247592653483,0.644927536231884,0.546022155085599,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.811881188118812,0.905982905982906,0.90990990990991,0.951923076923077,0.966386554621849,0.547619047619048,0.45,0.545454545454546,0.864864864864865,0.764705882352941,0.854166666666667,0.898305084745763,0.870689655172414,0.98019801980198,0.950413223140496,0.547619047619048,0.45,0.545454545454545,0.864864864864865,0.764705882352941,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.582278481012658,0.439024390243902,0.489795918367347,0.901408450704225,0.722222222222222,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.166666666666667,0.0652173913043478,0.0869565217391304,0.231884057971014,0.0942028985507246,0.304347826086957,0.144927536231884,0.159420289855072,0.268115942028986,0.123188405797101,0.716751404870217,0.667277167277167,0.677177177177177,0.946549773755656,0.825298540468819
"19","Phase ~ TIME0 + NDVI + DTNDVI","rf",330,138,3,"noProc",19,0.709090909090909,0.627941936393104,0.644927536231884,0.546022155085599,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.811881188118812,0.905982905982906,0.90990990990991,0.951923076923077,0.966386554621849,0.547619047619048,0.45,0.545454545454546,0.864864864864865,0.764705882352941,0.854166666666667,0.898305084745763,0.870689655172414,0.98019801980198,0.950413223140496,0.547619047619048,0.45,0.545454545454545,0.864864864864865,0.764705882352941,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.582278481012658,0.439024390243902,0.489795918367347,0.901408450704225,0.722222222222222,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.166666666666667,0.0652173913043478,0.0869565217391304,0.231884057971014,0.0942028985507246,0.304347826086957,0.144927536231884,0.159420289855072,0.268115942028986,0.123188405797101,0.716751404870217,0.667277167277167,0.677177177177177,0.946549773755656,0.825298540468819
"20","Phase ~ TIME0 + NDVI + DTNDVI","rf",330,138,3,"noProc",20,0.7,0.616697757910668,0.644927536231884,0.546022155085599,0.559017979556221,0.72446991289081,0.268115942028986,2.58432787888038e-20,NA,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.811881188118812,0.905982905982906,0.90990990990991,0.951923076923077,0.966386554621849,0.547619047619048,0.45,0.545454545454546,0.864864864864865,0.764705882352941,0.854166666666667,0.898305084745763,0.870689655172414,0.98019801980198,0.950413223140496,0.547619047619048,0.45,0.545454545454545,0.864864864864865,0.764705882352941,0.621621621621622,0.428571428571429,0.444444444444444,0.941176470588235,0.684210526315789,0.582278481012658,0.439024390243902,0.489795918367347,0.901408450704225,0.722222222222222,0.268115942028986,0.152173913043478,0.195652173913043,0.246376811594203,0.13768115942029,0.166666666666667,0.0652173913043478,0.0869565217391304,0.231884057971014,0.0942028985507246,0.304347826086957,0.144927536231884,0.159420289855072,0.268115942028986,0.123188405797101,0.716751404870217,0.667277167277167,0.677177177177177,0.946549773755656,0.825298540468819
